Day;Category;Product;Sales
1;A;A2;1000
2;A;A2;1005
3;A;A2;1010
4;A;A2;1015
5;A;A2;1020
6;A;A2;1025
7;A;A2;1075
8;A;A2;1036
9;A;A2;1041
10;A;A2;1046
11;A;A2;1051
12;A;A2;1056
13;A;A2;1062
14;A;A2;1112
15;A;A2;1072
16;A;A2;1078
17;A;A2;1083
18;A;A2;1088
19;A;A2;1094
20;A;A2;1099
21;A;A2;1150
22;A;A2;1110
23;A;A2;1116
24;A;A2;1122
25;A;A2;1127
26;A;A2;1133
27;A;A2;1138
28;A;A2;1189
29;A;A2;1150
30;A;A2;1156
31;A;A2;1161
32;A;A2;1167
33;A;A2;1173
34;A;A2;1179
35;A;A2;1230
36;A;A2;1191
37;A;A2;1197
38;A;A2;1203
39;A;A2;1209
40;A;A2;1215
41;A;A2;1221
42;A;A2;1272
43;A;A2;1233
44;A;A2;1239
45;A;A2;1245
46;A;A2;1252
47;A;A2;1258
48;A;A2;1264
49;A;A2;1315
50;A;A2;1277
51;A;A2;1283
52;A;A2;1290
53;A;A2;1296
54;A;A2;1303
55;A;A2;1309
56;A;A2;1361
57;A;A2;1322
58;A;A2;1329
59;A;A2;1335
60;A;A2;1342
61;A;A2;1349
62;A;A2;1356
63;A;A2;1407
64;A;A2;1369
65;A;A2;1376
66;A;A2;1383
67;A;A2;1390
68;A;A2;1397
69;A;A2;1404
70;A;A2;1456
71;A;A2;1418
72;A;A2;1425
73;A;A2;1432
74;A;A2;1439
75;A;A2;1446
76;A;A2;1454
77;A;A2;1506
78;A;A2;1468
79;A;A2;1476
80;A;A2;1483
81;A;A2;1490
82;A;A2;1498
83;A;A2;1505
84;A;A2;1558
85;A;A2;1520
86;A;A2;1528
87;A;A2;1536
88;A;A2;1543
89;A;A2;1551
90;A;A2;1559
