Day;Category;Product;Sales
1;B;B2;
2;B;B2;
3;B;B2;
4;B;B2;
5;B;B2;
6;B;B2;
7;B;B2;
8;B;B2;
9;B;B2;
10;B;B2;
11;B;B2;
12;B;B2;
13;B;B2;
14;B;B2;
15;B;B2;
16;B;B2;
17;B;B2;
18;B;B2;
19;B;B2;
20;B;B2;
21;B;B2;
22;B;B2;
23;B;B2;
24;B;B2;
25;B;B2;
26;B;B2;
27;B;B2;
28;B;B2;
29;B;B2;
30;B;B2;
31;B;B2;
32;B;B2;
33;B;B2;
34;B;B2;
35;B;B2;
36;B;B2;
37;B;B2;
38;B;B2;
39;B;B2;
40;B;B2;
41;B;B2;
42;B;B2;
43;B;B2;
44;B;B2;
45;B;B2;
46;B;B2;
47;B;B2;
48;B;B2;
49;B;B2;
50;B;B2;
51;B;B2;
52;B;B2;
53;B;B2;
54;B;B2;
55;B;B2;
56;B;B2;
57;B;B2;
58;B;B2;
59;B;B2;
60;B;B2;
61;B;B2;10
62;B;B2;20
63;B;B2;40
64;B;B2;80
65;B;B2;144
66;B;B2;259
67;B;B2;300
68;B;B2;450
69;B;B2;560
70;B;B2;840
71;B;B2;1000
72;B;B2;1500
73;B;B2;2250
74;B;B2;2700
75;B;B2;3186
76;B;B2;3696
77;B;B2;3991
78;B;B2;4311
79;B;B2;4440
80;B;B2;4573
81;B;B2;4710
82;B;B2;4748
83;B;B2;4786
84;B;B2;4824
85;B;B2;4863
86;B;B2;4902
87;B;B2;4941
88;B;B2;4981
89;B;B2;4900
90;B;B2;4850
91;B;B2;
92;B;B2;
93;B;B2;
94;B;B2;
95;B;B2;
96;B;B2;
97;B;B2;
98;B;B2;
99;B;B2;
100;B;B2;
101;B;B2;
102;B;B2;
103;B;B2;
104;B;B2;
